기점 종점,LEVEL1,값,년(Annual),증감,증감율,구성비,누계,누계구성비
울산,대구,6238.4,2016,6238.4,6238.4,0,0,0
울산,인천,399,2016,399,399,0,0,0
울산,광주,250.4,2016,250.4,250.4,0,0,0
울산,대전,1775.1,2016,1775.1,1775.1,0,0,0
울산,울산,0,2016,0,0,0,0,0
울산,경기,2262.9,2016,2262.9,2262.9,0,0,0
울산,강원,3370,2016,3370,3370,0,0,0
울산,충북,820.8,2016,820.8,820.8,0,0,0
울산,충남,1016.4,2016,1016.4,1016.4,0,0,0
울산,전북,1061.8,2016,1061.8,1061.8,0,0,0
울산,전남,2177.5,2016,2177.5,2177.5,0,0,0
울산,경북,66648.1,2016,66648.1,66648.1,0,0,0
울산,경남,51182.1,2016,51182.1,51182.1,0,0,0
울산,제주,24.4,2016,24.4,24.4,0,0,0
울산,세종,46.4,2016,46.4,46.4,0,0,0
울산,총합계,207695.7,2016,207695.7,207695.7,0,0,0
경기,서울,3098005,2016,3098005,3098005,0,0,0
경기,부산,7103.9,2016,7103.9,7103.9,0,0,0
경기,대구,8430.3,2016,8430.3,8430.3,0,0,0
경기,인천,530996.9,2016,530996.9,530996.9,0,0,0
경기,광주,6886.2,2016,6886.2,6886.2,0,0,0
경기,대전,23314.2,2016,23314.2,23314.2,0,0,0
경기,울산,2438,2016,2438,2438,0,0,0
경기,경기,4196610,2016,4196610,4196610,0,0,0
경기,강원,83179.2,2016,83179.2,83179.2,0,0,0
경기,충북,64694.6,2016,64694.6,64694.6,0,0,0
경기,충남,158110.3,2016,158110.3,158110.3,0,0,0
경기,전북,15649.8,2016,15649.8,15649.8,0,0,0
경기,전남,6489.8,2016,6489.8,6489.8,0,0,0
경기,경북,16966.4,2016,16966.4,16966.4,0,0,0
경기,경남,8234.2,2016,8234.2,8234.2,0,0,0
경기,제주,0,2016,0,0,0,0,0
경기,세종,6673.6,2016,6673.6,6673.6,0,0,0
경기,총합계,8233782.4,2016,8233782.4,8233782.4,0,0,0
강원,서울,65471.9,2016,65471.9,65471.9,0,0,0
강원,부산,1114,2016,1114,1114,0,0,0
강원,대구,2319.8,2016,2319.8,2319.8,0,0,0
강원,인천,7196.7,2016,7196.7,7196.7,0,0,0
강원,광주,346.6,2016,346.6,346.6,0,0,0
강원,대전,3020.6,2016,3020.6,3020.6,0,0,0
강원,울산,3189.9,2016,3189.9,3189.9,0,0,0
강원,경기,84382.4,2016,84382.4,84382.4,0,0,0
강원,강원,407448.4,2016,407448.4,407448.4,0,0,0
강원,충북,19539,2016,19539,19539,0,0,0
강원,충남,1364.5,2016,1364.5,1364.5,0,0,0
강원,전북,627.2,2016,627.2,627.2,0,0,0
강원,전남,160.5,2016,160.5,160.5,0,0,0
강원,경북,9371.2,2016,9371.2,9371.2,0,0,0
강원,경남,702.6,2016,702.6,702.6,0,0,0
강원,제주,108.9,2016,108.9,108.9,0,0,0
강원,세종,322.8,2016,322.8,322.8,0,0,0
강원,총합계,606686.8,2016,606686.8,606686.8,0,0,0
충북,서울,46071.3,2016,46071.3,46071.3,0,0,0
충북,부산,1580.6,2016,1580.6,1580.6,0,0,0
충북,대구,4028.3,2016,4028.3,4028.3,0,0,0
충북,인천,9303.3,2016,9303.3,9303.3,0,0,0
충북,광주,1436.3,2016,1436.3,1436.3,0,0,0
충북,대전,93313.2,2016,93313.2,93313.2,0,0,0
충북,울산,804.2,2016,804.2,804.2,0,0,0
충북,경기,67196.2,2016,67196.2,67196.2,0,0,0
충북,강원,17838.3,2016,17838.3,17838.3,0,0,0
충북,충북,270032.1,2016,270032.1,270032.1,0,0,0
충북,충남,34315.2,2016,34315.2,34315.2,0,0,0
충북,전북,6988.6,2016,6988.6,6988.6,0,0,0
충북,전남,1029,2016,1029,1029,0,0,0
충북,경북,15847.9,2016,15847.9,15847.9,0,0,0
충북,경남,3491.5,2016,3491.5,3491.5,0,0,0
충북,제주,2850.8,2016,2850.8,2850.8,0,0,0
충북,세종,44359.6,2016,44359.6,44359.6,0,0,0
충북,총합계,620486.4,2016,620486.4,620486.4,0,0,0
충남,서울,65379,2016,65379,65379,0,0,0
충남,부산,1839.8,2016,1839.8,1839.8,0,0,0
충남,대구,2784.9,2016,2784.9,2784.9,0,0,0
충남,인천,20260.5,2016,20260.5,20260.5,0,0,0
충남,광주,3803.9,2016,3803.9,3803.9,0,0,0
충남,대전,123590.1,2016,123590.1,123590.1,0,0,0
충남,울산,945.4,2016,945.4,945.4,0,0,0
충남,경기,155275.9,2016,155275.9,155275.9,0,0,0
충남,강원,1294.2,2016,1294.2,1294.2,0,0,0
충남,충북,37747.8,2016,37747.8,37747.8,0,0,0
충남,충남,508837.5,2016,508837.5,508837.5,0,0,0
충남,전북,26331.4,2016,26331.4,26331.4,0,0,0
충남,전남,3537.4,2016,3537.4,3537.4,0,0,0
충남,경북,3879.1,2016,3879.1,3879.1,0,0,0
충남,경남,2671.7,2016,2671.7,2671.7,0,0,0
충남,제주,0,2016,0,0,0,0,0
충남,세종,32720.7,2016,32720.7,32720.7,0,0,0
충남,총합계,990899.3,2016,990899.3,990899.3,0,0,0
전북,서울,16497.6,2016,16497.6,16497.6,0,0,0
전북,부산,3538.6,2016,3538.6,3538.6,0,0,0
전북,대구,1843.7,2016,1843.7,1843.7,0,0,0
전북,인천,4140.7,2016,4140.7,4140.7,0,0,0
전북,광주,27781.9,2016,27781.9,27781.9,0,0,0
전북,대전,15523.4,2016,15523.4,15523.4,0,0,0
전북,울산,1159.1,2016,1159.1,1159.1,0,0,0
전북,경기,15179.4,2016,15179.4,15179.4,0,0,0
전북,강원,614.7,2016,614.7,614.7,0,0,0
전북,충북,6964.9,2016,6964.9,6964.9,0,0,0
전북,충남,25532.6,2016,25532.6,25532.6,0,0,0
전북,전북,529443.9,2016,529443.9,529443.9,0,0,0
전북,전남,29345.5,2016,29345.5,29345.5,0,0,0
전북,경북,2293,2016,2293,2293,0,0,0
전북,경남,9275.8,2016,9275.8,9275.8,0,0,0
전북,제주,306.3,2016,306.3,306.3,0,0,0
전북,세종,1187.6,2016,1187.6,1187.6,0,0,0
전북,총합계,690628.8,2016,690628.8,690628.8,0,0,0
전남,서울,10009.2,2016,10009.2,10009.2,0,0,0
전남,부산,8663.1,2016,8663.1,8663.1,0,0,0
전남,대구,3372.1,2016,3372.1,3372.1,0,0,0
전남,인천,2163.4,2016,2163.4,2163.4,0,0,0
전남,광주,164361.5,2016,164361.5,164361.5,0,0,0
전남,대전,2405.8,2016,2405.8,2405.8,0,0,0
전남,울산,1341.2,2016,1341.2,1341.2,0,0,0
전남,경기,5921.9,2016,5921.9,5921.9,0,0,0
전남,강원,173.4,2016,173.4,173.4,0,0,0
전남,충북,922.9,2016,922.9,922.9,0,0,0
전남,충남,3356.8,2016,3356.8,3356.8,0,0,0
전남,전북,30361.9,2016,30361.9,30361.9,0,0,0
전남,전남,519933.1,2016,519933.1,519933.1,0,0,0
전남,경북,2677.7,2016,2677.7,2677.7,0,0,0
전남,경남,17241.4,2016,17241.4,17241.4,0,0,0
전남,제주,2184.1,2016,2184.1,2184.1,0,0,0
전남,세종,358.5,2016,358.5,358.5,0,0,0
전남,총합계,775448,2016,775448,775448,0,0,0
경북,서울,17675.2,2016,17675.2,17675.2,0,0,0
경북,부산,17878.6,2016,17878.6,17878.6,0,0,0
경북,대구,406925.7,2016,406925.7,406925.7,0,0,0
경북,인천,3938.9,2016,3938.9,3938.9,0,0,0
경북,광주,1113.1,2016,1113.1,1113.1,0,0,0
경북,대전,9303.6,2016,9303.6,9303.6,0,0,0
경북,울산,67816.2,2016,67816.2,67816.2,0,0,0
경북,경기,15686.3,2016,15686.3,15686.3,0,0,0
경북,강원,9662.8,2016,9662.8,9662.8,0,0,0
