"행정동별(1)",행정동별(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
"행정동별(1)",행정동별(2),총계,총계,총계,총계,총계,0-4 세,0-4 세,0-4 세,0-4 세,0-4 세,5-9 세,5-9 세,5-9 세,5-9 세,5-9 세,10-14 세,10-14 세,10-14 세,10-14 세,10-14 세,15-19 세,15-19 세,15-19 세,15-19 세,15-19 세,20-24 세,20-24 세,20-24 세,20-24 세,20-24 세,25-29 세,25-29 세,25-29 세,25-29 세,25-29 세,30-34 세,30-34 세,30-34 세,30-34 세,30-34 세,35-39 세,35-39 세,35-39 세,35-39 세,35-39 세,40-44 세,40-44 세,40-44 세,40-44 세,40-44 세,45-49 세,45-49 세,45-49 세,45-49 세,45-49 세,50-54 세,50-54 세,50-54 세,50-54 세,50-54 세,55-59 세,55-59 세,55-59 세,55-59 세,55-59 세,60-64 세,60-64 세,60-64 세,60-64 세,60-64 세,65-69 세,65-69 세,65-69 세,65-69 세,65-69 세,70-74 세,70-74 세,70-74 세,70-74 세,70-74 세,75-79 세,75-79 세,75-79 세,75-79 세,75-79 세,80-84 세,80-84 세,80-84 세,80-84 세,80-84 세,85-89세,85-89세,85-89세,85-89세,85-89세,90-94세,90-94세,90-94세,90-94세,90-94세,95-99세,95-99세,95-99세,95-99세,95-99세,100세이상,100세이상,100세이상,100세이상,100세이상
"행정동별(1)",행정동별(2),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%)
"완산구",서서학동,10116,4986,5130,-,-,267,144,123,-,-,302,155,147,-,-,386,193,193,-,-,585,304,281,-,-,702,350,352,-,-,549,292,257,-,-,551,301,250,-,-,655,380,275,-,-,705,371,334,-,-,786,422,364,-,-,825,401,424,-,-,1005,459,546,-,-,804,370,434,-,-,694,323,371,-,-,525,238,287,-,-,402,169,233,-,-,223,79,144,-,-,95,25,70,-,-,37,7,30,-,-,13,2,11,-,-,5,1,4,-,-
"완산구",중화산1동,16040,7721,8319,-,-,646,322,324,-,-,603,319,284,-,-,649,349,300,-,-,1094,547,547,-,-,1455,717,738,-,-,1156,579,577,-,-,1034,533,501,-,-,1012,508,504,-,-,1018,464,554,-,-,1287,579,708,-,-,1345,613,732,-,-,1501,717,784,-,-,1060,497,563,-,-,757,367,390,-,-,536,251,285,-,-,424,191,233,-,-,274,103,171,-,-,132,56,76,-,-,51,8,43,-,-,4,-,4,-,-,2,1,1,-,-
"완산구",중화산2동,20815,10395,10420,-,-,810,446,364,-,-,1107,581,526,-,-,1394,728,666,-,-,1878,941,937,-,-,1709,901,808,-,-,1353,717,636,-,-,1246,642,604,-,-,1466,688,778,-,-,1942,876,1066,-,-,2208,1091,1117,-,-,1687,892,795,-,-,1414,689,725,-,-,876,471,405,-,-,589,289,300,-,-,420,188,232,-,-,353,151,202,-,-,218,70,148,-,-,105,25,80,-,-,34,9,25,-,-,6,-,6,-,-,-,-,-,-,-
"완산구",평화1동,14302,6902,7400,-,-,521,270,251,-,-,422,229,193,-,-,493,277,216,-,-,728,373,355,-,-,924,523,401,-,-,782,414,368,-,-,898,477,421,-,-,925,499,426,-,-,986,522,464,-,-,1135,570,565,-,-,1237,551,686,-,-,1328,642,686,-,-,1044,489,555,-,-,934,403,531,-,-,694,283,411,-,-,595,200,395,-,-,386,117,269,-,-,205,50,155,-,-,55,12,43,-,-,9,-,9,-,-,1,1,-,-,-
"완산구",평화2동,45212,21751,23461,-,-,2085,1043,1042,-,-,2657,1347,1310,-,-,2737,1448,1289,-,-,3448,1732,1716,-,-,3268,1699,1569,-,-,2312,1204,1108,-,-,2521,1201,1320,-,-,3359,1522,1837,-,-,3982,1877,2105,-,-,3952,1929,2023,-,-,3531,1699,1832,-,-,3494,1640,1854,-,-,2618,1251,1367,-,-,1843,882,961,-,-,1297,581,716,-,-,975,379,596,-,-,669,208,461,-,-,335,84,251,-,-,90,21,69,-,-,37,4,33,-,-,2,-,2,-,-
"완산구",서신동,43554,21241,22313,-,-,2012,990,1022,-,-,2351,1248,1103,-,-,2696,1398,1298,-,-,3735,1863,1872,-,-,3575,1877,1698,-,-,2602,1281,1321,-,-,2908,1451,1457,-,-,3308,1554,1754,-,-,3826,1777,2049,-,-,4424,2114,2310,-,-,3489,1727,1762,-,-,2852,1393,1459,-,-,1842,899,943,-,-,1293,625,668,-,-,986,443,543,-,-,770,303,467,-,-,579,208,371,-,-,223,74,149,-,-,59,11,48,-,-,22,5,17,-,-,2,-,2,-,-
"완산구",삼천1동,14984,7260,7724,-,-,607,308,299,-,-,625,342,283,-,-,684,346,338,-,-,1250,655,595,-,-,1271,681,590,-,-,895,468,427,-,-,878,434,444,-,-,971,488,483,-,-,1052,487,565,-,-,1339,618,721,-,-,1329,610,719,-,-,1263,598,665,-,-,927,443,484,-,-,688,331,357,-,-,477,216,261,-,-,322,113,209,-,-,246,84,162,-,-,114,28,86,-,-,33,6,27,-,-,10,3,7,-,-,3,1,2,-,-
"완산구",삼천2동,16339,7849,8490,-,-,465,235,230,-,-,578,276,302,-,-,775,398,377,-,-,1335,671,664,-,-,1575,825,750,-,-,1104,596,508,-,-,860,462,398,-,-,831,408,423,-,-,1100,492,608,-,-,1454,641,813,-,-,1512,683,829,-,-,1625,745,880,-,-,1106,536,570,-,-,768,393,375,-,-,512,247,265,-,-,346,143,203,-,-,232,70,162,-,-,112,23,89,-,-,39,5,34,-,-,7,-,7,-,-,3,-,3,-,-
"완산구",삼천3동,24558,11967,12591,-,-,939,475,464,-,-,1191,603,588,-,-,1424,765,659,-,-,2199,1146,1053,-,-,2076,1137,939,-,-,1296,694,602,-,-,1199,577,622,-,-,1506,711,795,-,-,2027,878,1149,-,-,2474,1170,1304,-,-,2236,1103,1133,-,-,1935,946,989,-,-,1218,627,591,-,-,875,421,454,-,-,616,265,351,-,-,559,224,335,-,-,458,145,313,-,-,226,62,164,-,-,75,14,61,-,-,26,3,23,-,-,3,1,2,-,-
"완산구",효자1동,13627,6588,7039,-,-,506,258,248,-,-,566,318,248,-,-,528,280,248,-,-,836,419,417,-,-,1009,533,476,-,-,826,432,394,-,-,828,412,416,-,-,945,494,451,-,-,955,469,486,-,-,1019,484,535,-,-,1032,471,561,-,-,1211,563,648,-,-,965,441,524,-,-,919,390,529,-,-,586,275,311,-,-,459,209,250,-,-,262,95,167,-,-,121,30,91,-,-,39,11,28,-,-,13,3,10,-,-,2,1,1,-,-
